* Measurement data measured by REW V5.20.3
* Source: Input device not selected, no input selected, R, volume: 0,000. Timing signal peak level -38,0 dBFS, measurement signal peak level -27,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.09.2022 17:18:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0,7512 ms (258 mm, 10,14 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Sep 133
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
860.488098 75.540 71.7578
866.723572 73.809 58.4121
873.004211 71.892 61.2832
879.330322 71.917 60.4463
885.702332 72.619 50.5586
892.120483 73.001 35.6924
898.585144 72.787 17.9990
905.096680 71.550 3.8203
911.655396 70.003 3.7871
918.261597 70.612 8.2803
924.915710 72.065 -3.6367
931.618042 72.886 -31.7217
938.368896 72.696 -77.2314
945.168762 71.008 -138.9199
952.017822 68.962 152.0479
958.916504 68.830 87.4980
965.865234 69.523 38.6416
972.864319 69.507 8.9590
979.914062 69.542 -4.1621
987.014954 70.421 -14.5273
994.167236 70.900 -28.9863
1001.371399 70.683 -40.2588
1008.627747 70.868 -49.1182
1015.936646 71.117 -61.6016
1023.298584 70.694 -73.5469
1030.713867 70.178 -80.3311
1038.182739 69.864 -88.1338
1045.705933 69.001 -89.8164
1053.283447 69.863 -82.5625
1060.916016 72.384 -84.6084
1068.603882 73.784 -103.3242
1076.347412 73.499 -125.1133
1084.147095 72.692 -137.6836
1092.003296 73.283 -148.2832
1099.916382 73.926 -170.3369
1107.886841 72.340 176.1572
1115.915039 69.929 -164.8691
1124.001343 70.285 -151.4014
1132.146362 71.301 -160.8262
1140.350342 72.263 -176.4160
1148.613770 72.518 164.2480
1156.937134 71.871 147.3848
1165.320801 70.777 139.5176
1173.765137 71.227 136.4199
1182.270752 72.820 114.2256
